epoch,accuracy,learning_rate,loss,top5_acc,val_accuracy,val_loss,val_top5_acc
0,0.24259918928146362,0.0010000000474974513,3.009368419647217,0.5897375345230103,0.36907848715782166,2.508254289627075,0.7195380330085754
1,0.35721227526664734,0.0010000000474974513,2.5235629081726074,0.7159857153892517,0.42729201912879944,2.272249221801758,0.7749233841896057
2,0.4124422073364258,0.0010000000474974513,2.37310791015625,0.7612006068229675,0.4529813826084137,2.21989107131958,0.7984916567802429
3,0.44192761182785034,0.0010000000474974513,2.29961895942688,0.7862676382064819,0.4652368724346161,2.2270095348358154,0.8053264021873474
4,0.4634009897708893,0.0010000000474974513,2.266901731491089,0.8026451468467712,0.49422577023506165,2.183560848236084,0.8185245990753174
5,0.4838728606700897,0.0010000000474974513,2.2383813858032227,0.8121299743652344,0.5088380575180054,2.207390308380127,0.8123968839645386
6,0.49695131182670593,0.0010000000474974513,2.224428415298462,0.8206427097320557,0.5203865170478821,2.21364164352417,0.8168748617172241
7,0.5053167939186096,0.0010000000474974513,2.2134525775909424,0.8308933973312378,0.514965832233429,2.214867115020752,0.8218241930007935
8,0.5174526572227478,0.0010000000474974513,2.1926450729370117,0.839317798614502,0.5137873888015747,2.230856418609619,0.8312515020370483
9,0.522695779800415,0.0010000000474974513,2.1821844577789307,0.8436183929443359,0.529813826084137,2.2036378383636475,0.8366721868515015
10,0.5332115888595581,0.0010010000551119447,2.1749112606048584,0.8488320708274841,0.5394768118858337,2.2155518531799316,0.8329012393951416
11,0.5392795205116272,0.0010009316029027104,2.1622209548950195,0.8565790057182312,0.5328776836395264,2.2456538677215576,0.833844006061554
12,0.5451117753982544,0.0010007265955209732,2.1530704498291016,0.8584641814231873,0.5432476997375488,2.263632297515869,0.8399717211723328
13,0.5504432916641235,0.001000385032966733,2.1424026489257812,0.8642964363098145,0.5401838421821594,2.2629587650299072,0.837614893913269
14,0.5543020367622375,0.000999906798824668,2.1388132572174072,0.8676544427871704,0.5465472340583801,2.2515816688537598,0.8420928716659546
15,0.5647294521331787,0.0009992922423407435,2.115222454071045,0.8725735545158386,0.5493754148483276,2.2653136253356934,0.843506932258606
16,0.5655836462974548,0.0009985414799302816,2.1198627948760986,0.8733394145965576,0.5571529865264893,2.2554476261138916,0.8402073979377747
17,0.5728003978729248,0.000997654628008604,2.112060785293579,0.8763439059257507,0.5571529865264893,2.276099443435669,0.8460994362831116
18,0.574773907661438,0.0009966320358216763,2.099302291870117,0.8820878267288208,0.5613952279090881,2.279052734375,0.8449210524559021
19,0.5796046853065491,0.000995473936200142,2.091675043106079,0.8835017085075378,0.5562102198600769,2.295626640319824,0.8460994362831116
20,0.5843176245689392,0.0009941806783899665,2.0782113075256348,0.8857992887496948,0.5717652440071106,2.2717204093933105,0.8439783453941345
21,0.5852307677268982,0.0009927524952217937,2.0717928409576416,0.8879790306091309,0.5637520551681519,2.2797224521636963,0.8418571949005127
22,0.5915343761444092,0.0009911899687722325,2.0595881938934326,0.889893651008606,0.5722365975379944,2.278775691986084,0.8484562635421753
23,0.5943915843963623,0.0009894934482872486,2.047553539276123,0.8924857974052429,0.572708010673523,2.2818074226379395,0.8460994362831116
24,0.5982797741889954,0.0009876632830128074,2.0330400466918945,0.8944888114929199,0.5710582137107849,2.2888131141662598,0.8498703837394714
